,Industrial Risk,Management Risk,Financial Flexibility,Credibility,Competitiveness,Operating Risk,Class,Class Code
98,1.0,1.0,0.0,0.0,0.0,0.0,bankruptcy,0
99,1.0,1.0,0.0,0.0,0.0,0.5,bankruptcy,0
100,1.0,1.0,0.0,0.5,0.0,0.0,bankruptcy,0
101,1.0,1.0,0.0,0.5,0.0,1.0,bankruptcy,0
102,1.0,1.0,0.5,0.0,0.0,1.0,bankruptcy,0
103,0.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
104,0.5,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
105,1.0,1.0,0.0,0.0,0.0,1.0,bankruptcy,0
106,0.0,1.0,0.0,0.0,0.5,0.5,bankruptcy,0
107,0.0,0.0,0.5,0.5,0.5,0.0,non-bankruptcy,1
108,1.0,1.0,0.5,0.5,0.5,1.0,non-bankruptcy,1
109,0.5,0.5,0.5,0.5,0.5,0.5,non-bankruptcy,1
110,0.0,0.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
111,1.0,1.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
112,0.5,0.5,1.0,1.0,1.0,0.5,non-bankruptcy,1
113,0.0,0.0,0.5,1.0,1.0,0.0,non-bankruptcy,1
114,0.0,0.0,1.0,0.5,0.5,0.0,non-bankruptcy,1
115,0.0,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
116,0.0,0.0,0.5,0.5,1.0,0.0,non-bankruptcy,1
117,0.0,0.0,1.0,1.0,0.5,0.0,non-bankruptcy,1
118,0.0,0.0,1.0,0.5,1.0,0.0,non-bankruptcy,1
119,1.0,1.0,0.5,1.0,1.0,1.0,non-bankruptcy,1
120,1.0,1.0,1.0,0.5,0.5,1.0,non-bankruptcy,1
121,1.0,1.0,0.5,1.0,0.5,1.0,non-bankruptcy,1
122,1.0,1.0,0.5,1.0,0.5,1.0,non-bankruptcy,1
123,1.0,1.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
124,1.0,1.0,1.0,1.0,0.5,1.0,non-bankruptcy,1
125,1.0,1.0,1.0,0.5,1.0,1.0,non-bankruptcy,1
126,0.5,0.5,0.5,1.0,1.0,0.5,non-bankruptcy,1
127,0.5,0.5,1.0,0.5,0.5,0.5,non-bankruptcy,1
128,0.5,0.5,0.5,1.0,0.5,0.5,non-bankruptcy,1
129,0.5,0.5,0.5,0.5,1.0,0.5,non-bankruptcy,1
130,0.5,0.5,1.0,1.0,0.5,0.5,non-bankruptcy,1
131,0.5,0.5,1.0,0.5,1.0,0.5,non-bankruptcy,1
132,0.0,1.0,0.5,0.5,0.5,0.0,non-bankruptcy,1
133,1.0,0.0,0.5,0.5,0.5,1.0,non-bankruptcy,1
134,0.0,1.0,0.5,0.5,0.5,1.0,non-bankruptcy,1
135,0.0,1.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
136,1.0,0.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
137,0.0,1.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
138,1.0,1.0,0.5,1.0,1.0,0.0,non-bankruptcy,1
139,0.0,1.0,1.0,0.5,0.5,0.0,non-bankruptcy,1
140,1.0,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
141,1.0,0.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
142,0.0,1.0,1.0,1.0,0.5,1.0,non-bankruptcy,1
143,1.0,0.0,1.0,0.5,1.0,0.5,non-bankruptcy,1
144,0.5,1.0,0.5,1.0,1.0,0.5,non-bankruptcy,1
145,0.5,0.0,1.0,0.5,0.5,0.5,non-bankruptcy,1
146,0.5,0.5,0.5,1.0,0.5,0.0,non-bankruptcy,1
147,0.5,0.5,0.5,0.5,1.0,1.0,non-bankruptcy,1
148,1.0,0.5,1.0,1.0,1.0,1.0,non-bankruptcy,1
149,0.5,1.0,1.0,0.5,1.0,1.0,non-bankruptcy,1
150,0.5,0.0,1.0,0.5,1.0,1.0,non-bankruptcy,1
151,1.0,1.0,1.0,0.5,1.0,0.0,non-bankruptcy,1
152,1.0,1.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
153,0.0,0.5,1.0,1.0,1.0,1.0,non-bankruptcy,1
154,0.5,0.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
155,0.5,1.0,0.0,0.5,1.0,0.0,non-bankruptcy,1
156,0.5,0.0,1.0,0.5,1.0,0.0,non-bankruptcy,1
157,0.0,0.5,1.0,0.5,1.0,1.0,non-bankruptcy,1
158,0.5,1.0,0.5,0.5,1.0,0.0,non-bankruptcy,1
159,0.5,1.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
160,0.5,1.0,0.5,0.5,1.0,0.5,non-bankruptcy,1
161,0.5,0.5,0.0,1.0,1.0,0.5,non-bankruptcy,1
162,0.5,0.5,0.0,1.0,1.0,0.0,non-bankruptcy,1
163,0.5,0.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
164,0.5,0.0,0.5,0.5,0.5,0.0,non-bankruptcy,1
165,1.0,0.0,0.0,1.0,1.0,0.5,non-bankruptcy,1
166,1.0,1.0,1.0,1.0,1.0,0.5,non-bankruptcy,1
167,0.5,0.5,0.5,1.0,1.0,0.5,non-bankruptcy,1
168,0.5,0.5,0.5,1.0,1.0,0.0,non-bankruptcy,1
169,0.0,0.5,0.5,1.0,1.0,0.0,non-bankruptcy,1
170,0.5,1.0,0.0,1.0,1.0,0.5,non-bankruptcy,1
171,0.0,1.0,0.0,1.0,1.0,0.5,non-bankruptcy,1
172,0.5,0.5,0.0,1.0,1.0,0.0,non-bankruptcy,1
173,0.0,0.5,1.0,0.0,1.0,1.0,non-bankruptcy,1
174,0.0,0.5,0.0,0.5,1.0,1.0,non-bankruptcy,1
175,0.0,0.0,1.0,0.5,1.0,1.0,non-bankruptcy,1
176,0.0,0.5,1.0,0.0,1.0,1.0,non-bankruptcy,1
177,0.0,0.5,0.5,1.0,1.0,1.0,non-bankruptcy,1
178,0.0,0.0,0.5,1.0,1.0,0.0,non-bankruptcy,1
179,0.0,0.5,1.0,0.5,1.0,0.0,non-bankruptcy,1
180,0.0,0.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
181,0.5,0.5,0.5,0.5,0.5,0.0,non-bankruptcy,1
182,0.0,0.0,0.5,1.0,1.0,1.0,non-bankruptcy,1
183,0.5,0.0,0.0,1.0,0.5,0.0,non-bankruptcy,1
184,0.5,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
185,0.0,0.5,0.0,0.5,1.0,0.5,non-bankruptcy,1
186,0.5,0.0,0.0,1.0,0.5,0.0,non-bankruptcy,1
187,0.0,0.5,0.5,0.5,1.0,0.5,non-bankruptcy,1
188,0.5,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
189,0.5,0.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
190,0.0,0.5,0.5,0.0,1.0,0.0,non-bankruptcy,1
191,0.5,0.0,0.5,0.5,0.5,0.0,non-bankruptcy,1
192,0.5,1.0,0.0,0.0,1.0,0.0,non-bankruptcy,1
193,1.0,0.0,0.0,1.0,1.0,0.5,non-bankruptcy,1
194,0.0,1.0,0.5,0.0,0.5,0.0,non-bankruptcy,1
195,1.0,1.0,1.0,1.0,1.0,0.5,non-bankruptcy,1
196,0.5,0.5,0.5,1.0,1.0,0.5,non-bankruptcy,1
197,0.5,0.5,0.5,1.0,1.0,0.0,non-bankruptcy,1
198,0.0,0.5,0.5,1.0,1.0,0.0,non-bankruptcy,1
199,0.5,1.0,0.0,1.0,1.0,0.5,non-bankruptcy,1
200,0.5,0.5,0.0,1.0,1.0,0.0,non-bankruptcy,1
201,0.0,0.5,1.0,0.0,1.0,1.0,non-bankruptcy,1
202,0.0,0.0,1.0,0.5,1.0,1.0,non-bankruptcy,1
203,0.0,0.5,1.0,0.0,1.0,1.0,non-bankruptcy,1
204,0.0,0.5,0.5,1.0,1.0,1.0,non-bankruptcy,1
205,0.0,0.0,0.5,1.0,1.0,0.0,non-bankruptcy,1
206,0.0,0.5,1.0,0.5,1.0,0.0,non-bankruptcy,1
207,0.0,0.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
208,0.5,0.5,0.5,0.5,0.5,0.0,non-bankruptcy,1
209,0.0,0.0,0.5,1.0,1.0,1.0,non-bankruptcy,1
210,0.5,0.0,0.0,1.0,0.5,0.0,non-bankruptcy,1
211,0.0,0.5,0.5,0.5,1.0,0.5,non-bankruptcy,1
212,0.5,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
213,0.5,0.0,0.0,1.0,0.5,0.0,non-bankruptcy,1
214,0.5,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
215,0.0,0.0,0.5,0.5,0.5,0.0,non-bankruptcy,1
216,1.0,1.0,0.5,0.5,0.5,1.0,non-bankruptcy,1
217,0.5,0.5,0.5,0.5,0.5,0.5,non-bankruptcy,1
218,0.0,0.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
219,1.0,1.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
220,0.5,0.5,1.0,1.0,1.0,0.5,non-bankruptcy,1
221,0.0,0.0,0.5,1.0,1.0,0.0,non-bankruptcy,1
222,0.0,0.0,1.0,0.5,0.5,0.0,non-bankruptcy,1
223,0.0,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
224,0.0,0.0,0.5,0.5,1.0,0.0,non-bankruptcy,1
225,0.0,0.0,1.0,1.0,0.5,0.0,non-bankruptcy,1
226,0.0,0.0,1.0,0.5,1.0,0.0,non-bankruptcy,1
227,1.0,1.0,0.5,1.0,1.0,1.0,non-bankruptcy,1
228,1.0,1.0,1.0,0.5,0.5,1.0,non-bankruptcy,1
229,1.0,1.0,0.5,1.0,0.5,1.0,non-bankruptcy,1
230,1.0,1.0,0.5,1.0,0.5,1.0,non-bankruptcy,1
231,1.0,1.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
232,1.0,1.0,1.0,1.0,0.5,1.0,non-bankruptcy,1
233,1.0,1.0,1.0,0.5,1.0,1.0,non-bankruptcy,1
234,0.5,0.5,0.5,1.0,1.0,0.5,non-bankruptcy,1
235,0.5,0.5,1.0,0.5,0.5,0.5,non-bankruptcy,1
236,0.5,0.5,0.5,1.0,0.5,0.5,non-bankruptcy,1
237,0.5,0.5,0.5,0.5,1.0,0.5,non-bankruptcy,1
238,0.5,0.5,1.0,1.0,0.5,0.5,non-bankruptcy,1
239,0.5,0.5,1.0,0.5,1.0,0.5,non-bankruptcy,1
240,0.0,1.0,0.5,0.5,0.5,0.0,non-bankruptcy,1
241,1.0,0.0,0.5,0.5,0.5,1.0,non-bankruptcy,1
242,0.0,1.0,0.5,0.5,0.5,1.0,non-bankruptcy,1
243,0.0,1.0,1.0,1.0,1.0,0.0,non-bankruptcy,1
244,1.0,0.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
245,0.0,1.0,1.0,1.0,1.0,1.0,non-bankruptcy,1
246,1.0,1.0,0.5,1.0,1.0,0.0,non-bankruptcy,1
247,0.0,1.0,1.0,0.5,0.5,0.0,non-bankruptcy,1
248,1.0,0.0,0.5,1.0,0.5,0.0,non-bankruptcy,1
249,1.0,0.0,0.5,0.5,1.0,1.0,non-bankruptcy,1
